,,,,,,,
Material Type,Name,Concentration,Amount,Location,SDS,Notes,Instrument
Acid,Hydrochloric,0.005 M,450 mL,327,1,,
Acid,Hydrochloric,0.05 M,400 mL,327,1,,
Acid,Hydrochloric,0.10 M,1300 mL,327,1,,
Acid,Hydrochloric,0.30 M,1 L,327,1,,
Acid,Hydrochloric,0.50 M,700 mL,327,1,,
Acid,Hydrochloric,1.0 M,3800 mL,327,1,,
Acid,Hydrochloric,3.0 M,400 mL,327,1,,
Acid,Hydrochloric,6.0 M,100 mL,327,1,,
Acid,Hydrochloric,Concentrated,9 L,327,1,,
Acid,Acetic,0.10 M,8800 mL,327,1,,
Acid,Acetic,1.0 M,2.2 L,327,1,,
Acid,Acetic,4.0 M,15 mL,327,1,,
Acid,Acetic,5%,600 mL,327,1,,
Acid,Acetic,10%,800 mL,327,1,,
Acid,Acetic,Concentrated,2 L,327,1,,
Acid,Chloroacetic,0.10 M,50 mL,327,0,,
Acid,Chloroacetic,50%,300 mL,327,0,,
Acid,Trifluoroacetic,?,600 mL,327,1,,
Acid,Trichloroacetic,50%,50 mL,327,1,,
Acid,Nitric,1.0 M,350 mL,325,1,,
Acid,Nitric,6.0 M,450 mL,325,1,,
Acid,Nitric,8.0 M,100 mL,325,1,,
Acid,Nitric,50%,200 mL,325,1,,
Acid,Nitric,Concentrated,12 L,325,1,,
Acid,Phosphoric,Concentrated,3.0 L,325,1,,
Acid,Hydrobromic,1.0 M,1300 mL,325,0,,
Acid,Hydrobromic,48%,650 mL,325,0,,
Acid,Formic,88%,300 mL,325,1,,
Acid,Sulfuric,0.1000 M,24 L,323,1,,
Acid,Sulfuric,1.0 M,1800 mL,323,1,,
Acid,Sulfuric,6 M,2.5 L,323,1,,
Acid,Sulfuric,10%,750 mL,323,1,,
Acid,Sulfuric,Concentrated,8.5 L,323,1,,
Acid,Perchloric,60%,1 L,323,0,,
Acid,Perchloric,70%,500 mL,323,0,,
Instrumental Chemical,Acetonitrile,99.90%,5 L,310,1,,HPLC
Instrumental Chemical,n-Hexane,95%,3 L,310,1,,HPLC
Instrumental Chemical,Methanol,99.90%,3 L,310,1,,HPLC
Instrumental Chemical,2-Propanol,99.90%,1 L,310,1,,HPLC
Instrumental Chemical,Water,Chromasolv,250 mL,310,1,,HPLC
Flammables,Acetaldehyde,99%,80 mL,Prep Room,1,,
Flammables,Acetylacetone,99%,20 mL,Prep Room,1,,
Flammables,n-Amyl Acetate,95%,20 mL,Prep Room,1,,
Flammables,Anisole,95%,100 mL,Prep Room,1,,
Flammables,Benzene,95%,1530 mL,Prep Room,1,,
Flammables,Bromobenzene,99%,1000 mL,Prep Room,1,,
Flammables,1-Bromobutane,99%,300 mL,Prep Room,1,,
Flammables,2-Bromobutane,98%,50 mL,Prep Room,1,,
Flammables,2-Bromo-2-methylpropane,96%,160 mL,Prep Room,1,,
Flammables,2-Bromopropane,99%,200 mL,Prep Room,1,,
Flammables,Bromotoluene,95%,5 mL,Prep Room,1,,
Flammables,tert-Butanol,99%,500 mL,Prep Room,1,,
Flammables,tert-Butyl Chloride,95%,100 mL,Prep Room,1,,
Flammables,tert-Butyl Methyl Ether,99%,1300 mL,Prep Room,1,,
Flammables,Chlorobenzene,99%,1000 mL,Prep Room,1,,
Flammables,1-Chlororbutane,99%,1700 mL,Prep Room,1,,
Flammables,2-Chlorobutane,99%,300 mL,Prep Room,1,,
Flammables,2-Chloro-2-methylpropane,99%,600 mL,Prep Room,1,,
Flammables,Cyclohexane,99%,3 L,Prep Room,1,,
Flammables,Cyclohexanol,99%,550 mL,Prep Room,1,,
Flammables,Cyclohexanone,99%,1400 mL,Prep Room,1,,
Flammables,Cyclohexene,99%,1100 mL,Prep Room,1,,
Flammables,"1,2-Dibromopropane",99%,80 mL,Prep Room,1,,
Flammables,Dichlorodimethylsilane,99%,800 mL,Prep Room,1,,
Flammables,Dichloromethane,99%,2.5 L,Prep Room,1,,
Flammables,Dicyclopentadiene,95%,1200 mL,Prep Room,1,,
Flammables,Diethyl Malonate,99%,250 mL,Prep Room,1,,
Flammables,"N,N-Dimethyl Aniline",95%,300 mL,Prep Room,1,,
Flammables,Dinitrophenylhydrazine,Solid,20 g,Prep Room,1,,
Flammables,Dinitrophenylhydrazine,Solution,50 mL,Prep Room,1,,
Flammables,"1,4-Dioxane",99%,600 mL,Prep Room,1,,
Flammables,Ethanol,200 Proof,800 mL,Prep Room,1,,
Flammables,Ethyl Acetate,99%,300 mL,Prep Room,1,,
Flammables,Ethyl Acetoacetate,99%,50 mL,Prep Room,1,,
Flammables,Ethyl Benzoylacetate,99%,150 mL,Prep Room,1,,
Flammables,Ethyl Ether,99%,2 L,Prep Room,1,,
Flammables,Ethyl Formate,97%,500 mL,Prep Room,1,,
Flammables,Ethylenediamine,99%,900 mL,Prep Room,1,,
Flammables,4-Fluorophenylmagnesium Bromide,1.0 M,100 mL,Prep Room,1,,
Flammables,Heptaldehyde,95%,60 mL,Prep Room,1,,
Flammables,n-Heptane,99%,150 mL,Prep Room,1,,
Flammables,2-Heptanone,99%,50 mL,Prep Room,1,,
Flammables,3-Heptanone,98%,60 mL,Prep Room,1,,
Flammables,1-Heptyne,98%,80 mL,Prep Room,1,,
Flammables,Hexane,95%,1 L,Prep Room,1,,
Flammables,1-Hexene,97%,600 mL,Prep Room,1,,
Flammables,Hexylamine,99%,40 mL,Prep Room,1,,
Flammables,2-Iodo-2-methylpropane,95%,5 mL,Prep Room,1,,
Flammables,Isoborneol,Solid,500 g,Prep Room,1,,
Flammables,Isobutyl Alcohol,95%,400 mL,Prep Room,1,,
Flammables,Isopentyl Alcohol,95%,60 mL,Prep Room,1,,
Flammables,Isopropyl Alcohol,95%,2 L,Prep Room,1,,
Flammables,(R)-(+)-Limonene,97%,80 mL,Prep Room,1,,
Flammables,Lycopodium Powder,Solid,20 g,Prep Room,1,,
Flammables,2-Methyl-2-Butanol,95%,50 mL,Prep Room,1,,
Flammables,Methyl Ethyl Ketone,95%,1250 mL,Prep Room,1,,
Flammables,Ninhydrin,0.30%,10 mL,Prep Room,1,,
Flammables,Nonane,99%,1000 mL,Prep Room,1,,
Flammables,Octane,98%,2 L,Prep Room,1,,
Flammables,1-Octene,98%,20 mL,Prep Room,1,,
Flammables,trans-2-Octene,97%,1 mL,Prep Room,1,,
Flammables,2-Octyne,97%,1 mL,Prep Room,1,,
Flammables,Pentane,99%,4 L,Prep Room,1,,
Flammables,3-Pentanone,98%,200 mL,Prep Room,1,,
Flammables,Phenol,89%,1.5 L,Prep Room,1,,
Flammables,Piperidine,99%,800 mL,Prep Room,1,,
Flammables,n-Propanol,95%,200 mL,Prep Room,1,,
Flammables,Propionic Acid,99%,100 mL,Prep Room,1,,
Flammables,Sodium Borohydride,Solid,40 g,Prep Room,1,,
Flammables,Tetrachloroethylene,99%,450 mL,Prep Room,1,,
Flammables,Tetrahydrofuran,99%,150 mL,Prep Room,1,,
Flammables,Toluene,99%,3.9 L,Prep Room,1,,
Flammables,"1,2,3-Tribromopropane",97%,90 g,Prep Room,1,,
Flammables,"1,2,4-Trichlorobeneze",99%,600 mL,Prep Room,1,,
Flammables,Trichloroethylene,99%,300 mL,Prep Room,1,,
Flammables,Triethylamine,99%,1200 mL,Prep Room,1,,
Flammables,Triethyl Orthoformate,98%,200 mL,Prep Room,1,,
Flammables,Triethylsilane,99%,100 g,Prep Room,1,,
Flammables,m-Xylene,99%,10 mL,Prep Room,1,,
Flammables,o-Xylene,96%,800 mL,Prep Room,1,,
Flammables,p-Xylene,99%,30 mL,Prep Room,1,,
Flammables,n-Butanol,99%,8 L,327,1,,
Flammables,tert-Butanol,99%,1400 mL,327,1,,
Flammables,tert-Butyl Methyl Ether,99%,250 mL,327,1,,
Flammables,Ethylene Glycol ,99%,200 mL,327,1,,
Flammables,Ethylene Glycol Dimethyl Ether,99%,300 mL,327,1,,
Flammables,n-Propyl Alcohol,99%,2 L,327,1,,
Flammables,tert-Amyl Alcohol,99%,1.5 L,327,1,,
Flammables,sec-Butanol,99%,2 L,327,1,,
Flammables,Methanol,95%,6 L,327,1,,
Flammables,Reagent Alcohol,95%,10 L,327,1,,
Flammables,Ethyl Acetate,99%,1200 mL,325,1,,
Flammables,Toluene,99%,3200 mL,325,1,,
Flammables,Methyl Ethyl Ketone,99%,3 L,325,1,,
Flammables,Reagent Alcohol,95%,2 L,325,1,,
Flammables,Chloroform,99%,1 L,325,1,,
Flammables,Petroleum Ether,99%,1800 mL,325,1,,
Flammables,Acetone,99%,3500 mL,325,1,,
Flammables,Cyclohexane,99%,3500 mL,325,1,,
Flammables,Ethyl Ether,99%,1600 mL,325,1,,
Flammables,Methanol,95%,1300 mL,325,1,,
Flammables,Tetrahydrofuran,99%,200 mL,325,1,,
Flammables,Xylenes,95%,200 mL,325,1,,
Flammables,Acetone,95%,7 L,308,1,,
Flammables,Isopropyl Alcohol,95%,2.5 L,308,1,,
Flammables,Toluene,99%,2800 mL,308,1,,
Flammables,Xylenes,Mixed,1100 mL,308,1,,
Flammables,Acetone,99%,8 L,310,1,,
Flammables,Dicyclopentadiene,95%,1 L,310,1,,
Flammables,"N,N-Dimethylformamide",100%,4 L,310,1,,
Flammables,Gasoline,E85,2 L,310,1,,
Flammables,Kerosine,,7 L,310,1,,
Non-Flammable Organics,Acetone,Pure,300 mL,Prep Room,1,,
Non-Flammable Organics,Acetone,4.00 M,3.3 L,Prep Room,1,,
Non-Flammable Organics,Acetone:Water,50%,400 mL,Prep Room,1,,
Non-Flammable Organics,Acetone,10%,450 mL,Prep Room,1,,
Non-Flammable Organics,Acetic Anhydride,98%,1 L,Prep Room,1,,
Non-Flammable Organics,Acetylferrocene,95%,15 g,Prep Room,1,,
