chemBottleIDNUM,chemMaterial,chemName,chemConcentration,chemAmountInBottle,chemAmountUnit,chemLocationRoom,chemSDS,chemNotes,chemInstrument,,,,
1,Acid,Hydrochloric,0.005 M,450,mL,327,1,,,,,,
2,Acid,Hydrochloric,0.05 M,400,mL,327,1,,,,,,
3,Acid,Hydrochloric,0.10 M,1300,mL,327,1,,,,,,
4,Acid,Hydrochloric,0.30 M,1,L,327,1,,,,,,
5,Acid,Hydrochloric,0.50 M,700,mL,327,1,,,,,,
6,Acid,Hydrochloric,1.0 M,3800,mL,327,1,,,,,,
7,Acid,Hydrochloric,3.0 M,400,mL,327,1,,,,,,
8,Acid,Hydrochloric,6.0 M,100,mL,327,1,,,,,,
9,Acid,Hydrochloric,Concentrated,9,L,327,1,,,,,,
10,Acid,Acetic,0.10 M,8800,mL,327,1,,,,,,
11,Acid,Acetic,1.0 M,2.2,L,327,1,,,,,,
12,Acid,Acetic,4.0 M,15,mL,327,1,,,,,,
13,Acid,Acetic,5%,600,mL,327,1,,,,,,
14,Acid,Acetic,10%,800,mL,327,1,,,,,,
15,Acid,Acetic,Concentrated,2,L,327,1,,,,,,
16,Acid,Chloroacetic,0.10 M,50,mL,327,0,,,,,,
17,Acid,Chloroacetic,50%,300,mL,327,0,,,,,,
18,Acid,Trifluoroacetic,?,600,mL,327,1,,,,,,
19,Acid,Trichloroacetic,50%,50,mL,327,1,,,,,,
20,Acid,Nitric,1.0 M,350,mL,325,1,,,,,,
21,Acid,Nitric,6.0 M,450,mL,325,1,,,,,,
22,Acid,Nitric,8.0 M,100,mL,325,1,,,,,,
23,Acid,Nitric,50%,200,mL,325,1,,,,,,
24,Acid,Nitric,Concentrated,12,L,325,1,,,,,,
25,Acid,Phosphoric,Concentrated,3.0,L,325,1,,,,,,
26,Acid,Hydrobromic,1.0 M,1300,mL,325,0,,,,,,
27,Acid,Hydrobromic,48%,650,mL,325,0,,,,,,
28,Acid,Formic,88%,300,mL,325,1,,,,,,
29,Acid,Sulfuric,0.1000 M,24,L,323,1,,,,,,
30,Acid,Sulfuric,1.0 M,1800,mL,323,1,,,,,,
31,Acid,Sulfuric,6 M,2.5,L,323,1,,,,,,
32,Acid,Sulfuric,10%,750,mL,323,1,,,,,,
33,Acid,Sulfuric,Concentrated,8.5,L,323,1,,,,,,
34,Acid,Perchloric,60%,1,L,323,0,,,,,,
35,Acid,Perchloric,70%,500,mL,323,0,,,,,,
36,Instrumental Chemical,Acetonitrile,99.90%,5,L,310,1,,HPLC,,,,
37,Instrumental Chemical,n-Hexane,95%,3,L,310,1,,HPLC,,,,
38,Instrumental Chemical,Methanol,99.90%,3,L,310,1,,HPLC,,,,
39,Instrumental Chemical,2-Propanol,99.90%,1,L,310,1,,HPLC,,,,
40,Instrumental Chemical,Water,Chromasolv,250,mL,310,1,,HPLC,,,,
41,Flammables,Acetaldehyde,99%,80,mL,Prep Room,1,,,,,,
42,Flammables,Acetylacetone,99%,20,mL,Prep Room,1,,,,,,
43,Flammables,n-Amyl Acetate,95%,20,mL,Prep Room,1,,,,,,
44,Flammables,Anisole,95%,100,mL,Prep Room,1,,,,,,
45,Flammables,Benzene,95%,1530,mL,Prep Room,1,,,,,,
46,Flammables,Bromobenzene,99%,1000,mL,Prep Room,1,,,,,,
47,Flammables,1-Bromobutane,99%,300,mL,Prep Room,1,,,,,,
