chemID,chemMaterial,chemName,chemConcentration,chemAmountExpected,chemAmountUnit,chemLocationRoom,chemLocationCabinet,chemLocationShelf,chemSDS,chemNotes,chemInstrument
1,Acid,Hydrochloric,0.005 M,1200,mL,327,None,None,1,,
2,Acid,Hydrochloric,0.05 M,1200,mL,327,None,None,1,,
3,Acid,Hydrochloric,0.10 M,1200,mL,327,None,None,1,,
4,Acid,Hydrochloric,0.30 M,1200,L,327,None,None,1,,
5,Acid,Hydrochloric,0.50 M,1200,mL,327,None,None,1,,
6,Acid,Hydrochloric,1.0 M,1200,mL,327,None,None,1,,
7,Acid,Hydrochloric,3.0 M,1200,mL,327,None,None,1,,
8,Acid,Hydrochloric,6.0 M,1200,mL,327,None,None,1,,
9,Acid,Hydrochloric,Concentrated,1200,L,327,None,None,1,,
10,Acid,Acetic,0.10 M,1200,mL,327,None,None,1,,
11,Acid,Acetic,1.0 M,1200,L,327,None,None,1,,
12,Acid,Acetic,4.0 M,1200,mL,327,None,None,1,,
13,Acid,Acetic,5%,1200,mL,327,None,None,1,,
14,Acid,Acetic,10%,1200,mL,327,None,None,1,,
15,Acid,Acetic,Concentrated,1200,L,327,None,None,1,,
16,Acid,Chloroacetic,0.10 M,1200,mL,327,None,None,0,,
17,Acid,Chloroacetic,50%,1200,mL,327,None,None,0,,
18,Acid,Trifluoroacetic,?,1200,mL,327,None,None,1,,
19,Acid,Trichloroacetic,50%,1200,mL,327,None,None,1,,
20,Acid,Nitric,1.0 M,1200,mL,325,None,None,1,,
21,Acid,Nitric,6.0 M,1200,mL,325,None,None,1,,
22,Acid,Nitric,8.0 M,1200,mL,325,None,None,1,,
23,Acid,Nitric,50%,1200,mL,325,None,None,1,,
24,Acid,Nitric,Concentrated,1200,L,325,None,None,1,,
25,Acid,Phosphoric,Concentrated,1200,L,325,None,None,1,,
26,Acid,Hydrobromic,1.0 M,1200,mL,325,None,None,0,,
27,Acid,Hydrobromic,48%,1200,mL,325,None,None,0,,
28,Acid,Formic,88%,1200,mL,325,None,None,1,,
29,Acid,Sulfuric,0.1000 M,1200,L,323,None,None,1,,
30,Acid,Sulfuric,1.0 M,1200,mL,323,None,None,1,,
31,Acid,Sulfuric,6 M,1200,L,323,None,None,1,,
32,Acid,Sulfuric,10%,1200,mL,323,None,None,1,,
33,Acid,Sulfuric,Concentrated,1200,L,323,None,None,1,,
34,Acid,Perchloric,60%,1200,L,323,None,None,0,,
35,Acid,Perchloric,70%,1200,mL,323,None,None,0,,
36,Instrumental Chemical,Acetonitrile,99.90%,1200,L,310,None,None,1,,HPLC
37,Instrumental Chemical,n-Hexane,95%,1200,L,310,None,None,1,,HPLC
38,Instrumental Chemical,Methanol,99.90%,1200,L,310,None,None,1,,HPLC
39,Instrumental Chemical,2-Propanol,99.90%,1200,L,310,None,None,1,,HPLC
40,Instrumental Chemical,Water,Chromasolv,1200,mL,310,None,None,1,,HPLC
41,Flammables,Acetaldehyde,99%,1200,mL,Prep Room,None,None,1,,
42,Flammables,Acetylacetone,99%,1200,mL,Prep Room,None,None,1,,
43,Flammables,n-Amyl Acetate,95%,1200,mL,Prep Room,None,None,1,,
44,Flammables,Anisole,95%,1200,mL,Prep Room,None,None,1,,
45,Flammables,Benzene,95%,1200,mL,Prep Room,None,None,1,,
46,Flammables,Bromobenzene,99%,1200,mL,Prep Room,None,None,1,,
47,Flammables,1-Bromobutane,99%,1200,mL,Prep Room,None,None,1,,
48,Flammables,2-Bromobutane,98%,1200,mL,Prep Room,None,None,1,,
49,Flammables,2-Bromo-2-methylpropane,96%,1200,mL,Prep Room,None,None,1,,
50,Flammables,2-Bromopropane,99%,1200,mL,Prep Room,None,None,1,,
51,Flammables,Bromotoluene,95%,1200,mL,Prep Room,None,None,1,,
52,Flammables,tert-Butanol,99%,1200,mL,Prep Room,None,None,1,,
53,Flammables,tert-Butyl Chloride,95%,1200,mL,Prep Room,None,None,1,,
54,Flammables,tert-Butyl Methyl Ether,99%,1200,mL,Prep Room,None,None,1,,
55,Flammables,Chlorobenzene,99%,1200,mL,Prep Room,None,None,1,,
56,Flammables,1-Chlororbutane,99%,1200,mL,Prep Room,None,None,1,,
57,Flammables,2-Chlorobutane,99%,1200,mL,Prep Room,None,None,1,,
58,Flammables,2-Chloro-2-methylpropane,99%,1200,mL,Prep Room,None,None,1,,
59,Flammables,Cyclohexane,99%,1200,L,Prep Room,None,None,1,,
60,Flammables,Cyclohexanol,99%,1200,mL,Prep Room,None,None,1,,
61,Flammables,Cyclohexanone,99%,1200,mL,Prep Room,None,None,1,,
62,Flammables,Cyclohexene,99%,1200,mL,Prep Room,None,None,1,,
63,Flammables,"1,2-Dibromopropane",99%,1200,mL,Prep Room,None,None,1,,
64,Flammables,Dichlorodimethylsilane,99%,1200,mL,Prep Room,None,None,1,,
65,Flammables,Dichloromethane,99%,1200,L,Prep Room,None,None,1,,
